week,folder,topic,total_score,folder_structure_score,report_file_score,presentation_file_score,table_image_formula_score,experiment_outputs_score,ai_disclosure_score,link_file_integrity_score,markdown_files_count,report_candidates_count,presentation_files_count,image_files_count,has_table,has_formula,has_mermaid_or_diagram_code,outputs_dir_exists,experiment_result_files_count,ai_disclosure_files_count,broken_links_count,zero_byte_files_count,missing_required_before,missing_required_after
W01,w01_deep_learning_ml_security,딥러닝 패러다임 & ML 보안 분류학,100,20,20,15,15,10,10,10,49,4,12,4,True,True,True,True,4,2,0,0,,
W02,w02_optimization_data_poisoning,대규모 최적화 & 데이터 오염 위협,100,20,20,15,15,10,10,10,55,4,12,4,True,True,False,True,6,2,0,0,,
W03,w03_computer_vision_adversarial,컴퓨터비전 표현학습 & 비전 대적공격,100,20,20,15,15,10,10,10,55,4,10,4,True,True,False,True,6,2,0,0,,
W04,w04_transformer_nlp_security,Transformer 변형 & NLP 대적공격·프라이버시,100,20,20,15,15,10,10,10,48,4,10,4,True,True,False,True,4,2,0,0,,
W05,w05_ssl_backdoor,자기지도학습·파운데이션 모델 & Poisoning/Backdoor,100,20,20,15,15,10,10,10,48,4,10,4,True,True,False,True,4,2,0,0,,
W06,w06_diffusion_gan_deepfake,확률생성모형(Diffusion/GAN) & 딥페이크 검출,100,20,20,15,15,10,10,10,48,4,10,4,True,True,False,True,4,2,0,0,,
W07,w07_llm_security_privacy,LLM 학습·정렬·평가 & LLM 보안·프라이버시,100,20,20,15,15,10,10,10,48,4,10,4,True,True,False,True,4,2,0,0,,
W08,w08_rag_prompt_injection,RAG·프롬프팅 프레임워크 & 프롬프트 인젝션,100,20,20,15,15,10,10,10,48,4,10,4,True,True,True,True,4,2,0,0,,
W09,w09_drl_cybersecurity,심층강화학습(DRL) & 사이버보안 적용·보상조작,100,20,20,15,15,10,10,10,48,4,10,4,True,True,False,True,4,2,0,0,,
W10,w10_federated_learning_security,연합학습(FL) & FL 위협·방어·정책,100,20,20,15,15,10,10,10,48,4,10,4,True,True,False,True,4,2,0,0,,
W11,w11_differential_privacy_mi,차등프라이버시(DP) & 멤버십 추론 공격·방어,100,20,20,15,15,10,10,10,48,4,10,4,True,True,False,True,4,2,0,0,,
W12,w12_nn_verification_xai,신경망 검증·정형방법 & 대적방어·XAI·강건성 트레이드오프,100,20,20,15,15,10,10,10,48,4,10,4,True,True,False,True,4,2,0,0,,
W13,w13_model_stealing_watermarking,모델 지식재산(IP)·모델 도난·모델 추출 위협,100,20,20,15,15,10,10,10,48,4,10,4,True,True,False,True,4,2,0,0,,
W14,w14_mlops_supply_chain,MLOps/DevOps·데이터/모델 파이프라인·공급망 보안,100,20,20,15,15,10,10,10,48,4,10,4,True,True,False,True,7,3,0,0,,
W15,w15_reproducibility_xai_paper,연구평가·재현성·설명가능성(XAI)·논문 구성,100,20,20,15,15,10,10,10,48,4,10,4,True,True,True,True,4,2,0,0,,
